amenities,area,bathrooms,bedrooms,description,link,ownership,price,property_age,property_type,reference,service_charge,size,tags,title,trakheesi_permit
"
                      Partly furnished,
Balcony,
Built in Wardrobes,
Central A/C,
Covered Parking,
Kitchen Appliances,
Maids Room,
Pets Allowed,
Security,
Shared Gym,
Shared Pool,
Shared Spa,
Study",Avanos,2,"1
									+
					Maid			","SKY VIEW REAL ESTATE BROKERS proudly offers you this EXCLUSIVE PROJECT AVANOS RESIDENCE majestic and thoughtfully designed apartment for sale in the most demand location for residential properties in Dubai, Jumeirah Village Circle.
PROPERTY DETAILS:
Type : 1 Bedroom Plus study
Size : 815.80 SQFT
View : Multiple View Units Available
Chiller : Under DEWA
Parking : 01 ( Covered Podium )
Selling Price : AED 690,979 Onwards
STUDIOS , 1BR+STUDY , 2BR+STUDY , 3BR+STUDY AVAILABLE
ALL UNITS WITH WHITE GOODS ,
HOME AUTOMATION SYSTEM
District : 10
Location : Jumeirah Village Circle
Building : Avanos ( Ground +P+ 4 Floors )
Building Amenities :
* Adults & Kids Swimming Pool
* Gymnasium
* Kids Play Area
* Pool Cabanas
* Home Automation ( Control AC, Lights & Curtains through App )
* Smart Door Locks
* 24 Hours Security
* Close Proximity to Circle Mall
* Close Promixity to JSS International School
* Easy Entry/Exit to JVC ( Hessa Street & Street 2 )
Developer: Myra Real Estate Development LLC
Myra has delivered 3 Successful Projects in Jumeirah Village Circle
* Botanica ( District 13 )
* Crystal Residence ( District 11 )
* Rigel ( District 10 )
For More details Call Ms. Manjit
Sky View Real Estate Brokers
RERA ORN: 563
1108 / 1109, Clover Bay, Business Bay, Dubai
800-SKYVIEW",/en/plp/buy/apartment-for-sale-dubai-damac-hills-the-drive-carson-9055751.html,N/A,"
                                              690,000  AED
                                                                  ",N/A,"
			Apartment
		",SkyView-S-5258,N/A,"815
						sqft
															 / 
										76
						sqm",Last Unit | 1 BR w/ Maids Room | Ready Soon,"
                Apartment for Sale in Avanos, Jumeirah Village Circle              ",1451117105
"
                      Unfurnished,
Balcony,
Built in Wardrobes,
Covered Parking,
Pets Allowed,
Walk-in Closet",Springs 10,3,"2
							","Exclusive Links Real Estate is delighted to offer this great 2 bedroom plus study, Type 4M villa for sale Springs 10.  The property is well located and is available to view.  The garden has been landscaped.  The photos on show are the actual photos of the unit and a viewing can be arrange to view the property.  
Features:
- Type 4M
- 2 BR + Study
- 3 Bathrooms
- Single row
- Private Garden
- Covered Parking for 2 cars
The Springs Community is located off interchange 5 on the Sheikh Zayed Road, near the Greens Community, and contained within the very popular Emirates Living area. There are 15 separate Springs locations – all have 24/7 security gates at the entrance. Springs 3-15 have very convenient and quick access to the Emirates & Al Khail Roads. Built around scenic lakes, The Springs feature a range of 2 & 3 bed villas, in varying sizes and floor plans – ranging from middle and end units. Residents can take advantage of on-site facilities such as swimming pools, parks, nurseries, medical center.  
Please call to arrange a viewing.",/en/plp/buy/apartment-for-sale-dubai-damac-hills-the-drive-carson-9055751.html,N/A,"
                                              1,916,250  AED
                                                                  ",N/A,"
			Villa
		",CVSP-S-48932,N/A,"2,411
						sqft
															 / 
										224
						sqm",Type 4M | Landscaped Garden| Available,"
                Villa for Sale in Springs 10, The Springs              ",6914271500
"
                      Unfurnished,
Balcony,
Built in Wardrobes,
Central A/C,
Covered Parking,
Kitchen Appliances,
Maids Room,
Private Garden,
Security",The Field,5,"4
									+
					Maid			","Treo Homes is very pleased to be bringing to the market our latest Exclusive listing in The Field, Damac Hills
DAMAC Hills is a well-established self-contained community comprising villas, apartments and a hotel. Home to the Trump International Golf Club Dubai, it also boasts nearly four million square feet of parkland offering various themed areas for relaxation and sports
Features
- 4 Bed
- 5 Bathrooms
- Uniquely Upgraded Throughout
- 3,487.51 Sq Ft Plot
- 2,600 Sq Ft BUA
- Double-Covered Parking
- Vacant On Transfer
This popular layout features an upgraded closed kitchen and open plan living area and dining space which leads you out onto the rear garden with an separate BBQ area. This house has all the makings of a luxury family home. With floor-to-ceiling windows, the house receives plenty of natural light; while two bedrooms are supported by ensuite bathrooms and an additional bathroom to support the other two bedrooms.
To get more information or to book a viewing, get hold of us",/en/plp/buy/apartment-for-sale-dubai-damac-hills-the-drive-carson-9055751.html,"
							Freehold
					","
                                              3,800,000  AED
                                                                  ","4 Years
			","
			Townhouse
		",TREO-S-18256,N/A,"3,488
						sqft
															 / 
										324
						sqm",Uniquely Upgraded Family Home - VOT,"
                Townhouse for Sale in The Field, DAMAC Hills              ",6512788583
"
                      Unfurnished,
Balcony,
Built in Wardrobes,
Central A/C,
Maids Room,
Pets Allowed,
Private Garden,
Private Jacuzzi,
Private Pool,
Study",Meadows 1,3,"3
									+
					Maid			","Luxliving Real Estate is proud to offer this sought-after, spacious rare type 5 located in Emirates Living, Meadows 1 community. This property has a built-up area of 3,447 sq ft and sits on a huge plot of 9,299 sq ft. ground floor consists of 3 reception areas that can be used as dining, living, and family next to the upgraded kitchen, and a maid's room. Upstairs we have 3 bedrooms and a study room. This property is fully upgraded downstairs and upstairs to high standards. This property has a huge nice garden with a nice sitting area. It is vacant and available for viewing.* Type 5* 3 Bedrooms* Maids room* BUA: 3,447 sqft area* Plot: 9,299 sqft area* Study room* Huge Plot* Fully Upgraded * Upgraded kitchen and flooring* Upgraded Bathrooms* Private swimming pool* Great condition* Col-De-Sac location* Vacant Call Our Community Expert Today To Book A Viewing.We Specialize In Sales, Leasing, Portfolio Management, Investment, And Advisory Services To Our Clients For More Info Email Us At Info@luxliving.ae.",/en/plp/buy/apartment-for-sale-dubai-damac-hills-the-drive-carson-9055751.html,N/A,"
                                              6,500,000  AED
                                                                  ",N/A,"
			Villa
		",LUL-S-4975,N/A,"3,447
						sqft
															 / 
										320
						sqm",Huge Plot | Upgraded | Private Swimming Pool,"
                Villa for Sale in Meadows 1, Meadows              ",6589011000
"
                      Furnished,
Balcony,
View of Landmark,
View of Water",Al Msalli,3,"2
							","- Exclusive
- Vacant On Transfer
- Two Bedrooms + Maids
- Three Bathrooms
- Fully Upgraded
- Furnished
- 1550 Sq. Ft
- Burj Al Arab & Sea Views
- Beach Access
- 2 Basement Parking Spaces
- 24 Hour Security And CCTV
- Ref: L-191653
- Agent; Jack Stone - +971585763566 RERA BRN No - 55834
Allsopp & Allsopp are delighted to exclusively present this beautifully upgraded two bedroom plus maids in Al Msalli, Shoreline 9 of Palm Jumeirah. Stunning sea views and Burj Al Arab, with full access to the beach as well. Wooden floors upgraded throughout with modern electric blinds in bedrooms. Fully upgraded kitchen with all appliances included. Also has the additional basement parking giving you two spaces. 
Owner is happy to sell fully furnished and discuss further. Appliances and bespoke units already included.
For further details or to arrange a viewing appointment please contact our Head Office on +9714294444.
Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details.",/en/plp/buy/apartment-for-sale-dubai-damac-hills-the-drive-carson-9055751.html,N/A,"
                                              3,600,000  AED
                                                                  ",N/A,"
			Apartment
		",L-191653,"
				8.71
				AED
				per
				sqft
			","1,550
						sqft
															 / 
										144
						sqm",Exclusive | Vacant | Upgraded | Furnished,"
                Apartment for Sale in Al Msalli, Shoreline Apartments              ",7119193000
"
                      Furnished,
Balcony,
Built in Wardrobes,
Central A/C,
Covered Parking,
Shared Pool",Marina Crown,3,"2
							","Enjoy the experience of exclusive beaches, modern conveniences, and the harmony with luxury lifestyle in Marina Crown.
Dubai Marina is the ultimate blend of work and play, where crystal waters shimmer against modern architecture and yachts moor alongside trendsetting restaurants.
2 Bedroom
1,484.99 Sq. ft.
High Floor
1 Car Parking
Easy access to tram and metro station
Marina Crown is a 51 storey residential tower on the Beach Road across the Dubai International Marine Club in Dubai Marina. One of the biggest man made marinas in the world, it was implemented by the Government of Dubai. As Marina Crown borders the sun-kissed beaches of Jumeirah, all the apartments inside have pure oceanic views. This freehold structure has apartments with innovative amenities and convenience of being close to the business centers and shopping malls in the heart of Dubai.
To book this property or for more details, please contact our RERA certified Agent Ionela at +971555492607
Finance is available on this property through Premier Property Finance. Call us on +97143233609 for a free consultation.
Company name: Provident Real Estate
RERA ORN: 1933
Office phone no: +97143233609
Website:  [link not available] ",/en/plp/buy/apartment-for-sale-dubai-damac-hills-the-drive-carson-9055751.html,N/A,"
                                              1,880,000  AED
                                                                  ",N/A,"
			Apartment
		",PS-121313,"
				12.86
				AED
				per
				sqft
			","1,484
						sqft
															 / 
										138
						sqm",Upgraded | Fully Furnished | Vacant On Transfer,"
                Apartment for Sale in Marina Crown, Dubai Marina              ",7115628600
"
                      Furnished,
Balcony,
Barbecue Area,
Built in Wardrobes,
Central A/C,
Children's Play Area,
Concierge,
Covered Parking,
Kitchen Appliances,
Pets Allowed,
Shared Gym,
Shared Pool,
View of Water",Sunrise Bay Tower 1,2,"2
							","Full Sea View | High Floor 2 Bed | Vacant On TransferNick from Edwards and Towers is proud to present  this luxurious and spacious 2 bedroom apartment on a high floor overlooking the Sea and Marina.Property includes:- 2 bedrooms with Master En-Suite- 2 bathrooms - Marina and Sea View- High Floor- 1140.33 sq. ft.- Laundry room- Sold as Fully Furnished- Built-in wardrobes- Fully fitted kitchen- Floor to ceiling Windows- Vacant on transfer- Swimming Pool- Gym- Kids play areas- BBQ Area- Direct access to private beach- Residents private beach- ParkingAbout Emaar Beachfront:A 'Private Beach Living"", Emaar Beachfront is the exclusive residential community within the new maritime epicentre of the UAE – Dubai Harbour. The 10-million square foot destination will feature the private gated island, home to resort-style amenities, recreational facilities, play areas, restaurants, and cafes set along a promenade.Edwards and Towers is one of the world’s leading Real Estate agencies specializing in the brokerage of residential and commercial properties in the UAE.",/en/plp/buy/apartment-for-sale-dubai-damac-hills-the-drive-carson-9055751.html,"
							Leasehold
					","
                                              5,100,000  AED
                                                                  ","2 Years
			","
			Apartment
		",ET-S-9611,N/A,"1,140
						sqft
															 / 
										106
						sqm",High Floor | Vacant On Transfer | Fully Furnished,"
                Apartment for Sale in Sunrise Bay Tower 1, EMAAR Beachfront              ",71164281488
,Palma Residences,6,"5
							","LuxuryProperty.com is proud to present to the market this stunning Mediterranean-style 5-bedroom townhouse for sale in Palma Residence at Palm Jumeirah.
Key Features:
	5 Bedrooms with 6 Bathrooms
	BUA Size: 3,900 Sq. Ft.
	Plot Size: 4,406Sq.Ft.
	Built-In Wardrobes
	Floor-to-Ceiling Windows
	Spacious Open Plan Living & Dining Room
	Lights Flow freely in the Living Room
	Fully Fitted Brand New Kitchen
	Ensuite Guest Bedroom
	Maid’s Room Behind the Kitchen Area
	Landscaped Garden with Chairs & Table
	Roof-Top Terrace with Skyline View
	Direct Access to the Beach
	Two Covered Parking
This townhouse is a perfect family home with an amazing beach directly off your spacious garden.
This stunning Greek-style home has been completely renovated to a high standard to give a brand new modern contemporary finish. This home features Five bedrooms plus a maid’s room and a rooftop terrace with some of the best views looking onto Sheiks Island and Burj Al Arab.
Palma Residences is accessible from the main trunk of the Palm Jumeirah. It is a private gated community with security present at the main entrance at all times. There are two large swimming pools available for use by all the residents in the community. 
Palm Jumeirah is one of the prime locations to rent a home in Dubai, and anyone seeking an exceptional beachfront living experience should be looking at Palma Residence. 
Get in touch for more information or to book a viewing.",/en/plp/buy/apartment-for-sale-dubai-damac-hills-the-drive-carson-9055751.html,N/A,"
                                              Ask for price                                          ",N/A,"
			Townhouse
		",LP16317,N/A,"4,406
						sqft
															 / 
										409
						sqm",Exclusive I Unique 5BR Fully Renovated I Vacant,"
                Townhouse for Sale in Palma Residences, Palm Jumeirah              ",6540548190
"
                      Unfurnished,
Balcony,
Built in Wardrobes,
Kitchen Appliances,
Maids Room,
Private Garden,
Security,
Study,
View of Landmark,
View of Water,
Walk-in Closet",Sur La Mer,7,"5
									+
					Maid			","McCone Properties are delighted to present this beautiful 5-bedroom townhouse with full sea views in Sur La Mer at Port de la Mer.
As you enter this gorgeous townhouse on the ground floor you will find a spacious living and dining area with a perfectly designed guest bathroom. The semi-open kitchen is meticulously designed with a luxurious finish. To the left of the entrance is the maid's room with an en-suite bathroom opposite to which is the store room. The elevator will lead you to the first floor which comprises four bedrooms each having en-suite bathrooms and in-built wardrobes as well as a balcony that overlooks the stunning views of the sea. The second floor comprises a large family room with a powder room, the master bedroom that has an en-suite bathroom and a walk-in closet, and balcony access.
- 5 Spacious Bedrooms
- 7 luxuriously Designed Bathrooms
- Study
- Maids Room
- Storage Room
- Laundry Room
- Private Terrace Access
- Private BBQ Area
- Large Balcony
- Large Family Room
- Rooftop Terrace
Contact Teodora Damovska on +971565566800.",/en/plp/buy/apartment-for-sale-dubai-damac-hills-the-drive-carson-9055751.html,N/A,"
                                              16,000,000  AED
                                                                  ",N/A,"
			Townhouse
		",MCC-S-8118,N/A,"6,824
						sqft
															 / 
										634
						sqm",Sea Views | First Row | Great Location,"
                Townhouse for Sale in Sur La Mer, La Mer              ",0070137101
"
                      Unfurnished,
Balcony,
Built in Wardrobes,
Central A/C,
Covered Parking,
Maids Room,
Pets Allowed,
Private Garden,
Security,
Shared Gym,
Shared Pool,
Walk-in Closet",Caya,3,"4
									+
					Maid			","- Genuine Resale
- Detached Family Villa
- Roof terrace
- Fire Pit
- Park Backing
- Single Row Unit
- Largest 4bedroom layout
- Handover Q4 2024
- 30% Post Handover Payment Plan
- Emaar Master Community
- Call now for more details
haus & haus is proud to present this brand new 4 bedroom standalone villa in Caya, Arabian Ranches 3.
This contemporary villa is spread across 4,441 sq.ft, offering spacious living with family areas on each floor whilst the generous garden and roof terrace allow you even more space for relaxing and entertaining on a generous park backing plot housing your very own fire pit.
Please call for more information, to arrange a viewing or to make an offer.
For further details, please drop into our flagship office at the Gold & Diamond Park - or browse the incredible selection of properties we maintain at the haus & haus website. Our specialist brokers will be happy to answer any industry related query you have.",/en/plp/buy/apartment-for-sale-dubai-damac-hills-the-drive-carson-9055751.html,N/A,"
                                              5,000,000  AED
                                                                  ",N/A,"
			Villa
		",RAN220453,N/A,"4,441
						sqft
															 / 
										413
						sqm",Excellent Payment Plan | Park Backing | Fire Pit,"
                Villa for Sale in Caya, Arabian Ranches 3              ",65359386599
"
                      Unfurnished,
Balcony,
Built in Wardrobes,
Central A/C,
Security,
Shared Gym,
View of Landmark,
View of Water,
Walk-in Closet",Carson,2,"2
							","Seven Century Real Estate Brokers is delighted to offer you this Unique 2 Bedrooms Apartment for Sale in Carson Tower B (Damac HIills) Dubai. The property is spread over 1,323 Sq.ft and has a Modern Outstanding finishing.
Property details:
■ 2 Bedrooms
■ 2 Bathrooms
■ Spacious Living room
■ Cozy and bright Bedroom
■ Stunning & Modern Kitchen
■ Modern Finishing
■ Modern marble design
■ Unique layout
Location details:
■ Near to Public Transport
■ Near to Mosques
■ Near to Parks
Project Highlights:
■ Centrally located in close proximity to all major landmarks
■ Most striking, chic-building
■ Stunning Community views
■ Family Community
■ Big layout Units
Amenities:
■ Gymnasium with a magnificent view
■ Swimming pool
■ kid's play area
■ Landscaped areas
■ 24/7 Security
PRICE DETAILS:
■ Sale Price: AED 1,500,000/-
For further details or to arrange a viewing appointment, Please contact Mr. Hani Sharifi - Property Consultant Mr. Hani +971581000714.
Visit the seven-century real estate where you will find an extensive selection of properties available both for sale and for rent. seven-century Real Estate also provides Holiday Homes, Property Management, and Facility Management services too.
Buyers, Sellers, and Tenants can reach us anytime. Thank you for Choosing seven-century Real Estate!",/en/plp/buy/apartment-for-sale-dubai-damac-hills-the-drive-carson-9055751.html,"
							Freehold
					","
                                              1,500,000  AED
                                                                  ","1 Year
			","
			Apartment
		",151-Ap-S-4649BSC,N/A,"1,323
						sqft
															 / 
										123
						sqm",High Quality | Delightful | Modern Design,"
                Apartment for Sale in Carson, The Drive              ",7117688792
"
                      Unfurnished,
Balcony,
Private Garden",Springs 3,4,"3
							","One of a Kind & Fully Upgraded 3M in Springs 3 - EXCLUSIVE
- Fully Upgraded
- Maids Room
- Remodelled Upstairs
- Fully Extended
- Back to Back
- Opposite Lake & Park
- Landscaped Garden
- 2,456 Sq. Ft. BUA
- 2,734 Sq. Ft. PLOT
- Vacant on Transfer
- Call Jack on +971502364429
Allsopp & Allsopp are delighted to present this state of the art 3 bedroom property to the market for sale.
The villa has been extended with Emaar permits at the front and rear of the property. The downstairs consists of a hallway, downstairs bathroom, study, open plan living and dining area, Kitchen leading out to the garden and and a rare maids room with bathroom behind the kitchen.
3 bedrooms upstairs with fitted wardrobes and now all with their own bathrooms thanks to the renovations.
There is also covered parking at the front of the property
The property is being sold as vacant on transfer and is certainly not to be missed!
Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details.",/en/plp/buy/apartment-for-sale-dubai-damac-hills-the-drive-carson-9055751.html,N/A,"
                                              3,899,999  AED
                                                                  ",N/A,"
			Villa
		",L-193469,N/A,"2,456
						sqft
															 / 
										228
						sqm",Upgraded | Extended 3 | 3 Bed | Exclusive,"
                Villa for Sale in Springs 3, The Springs              ",6914443800
"
                      Unfurnished,
Balcony,
Barbecue Area,
Built in Wardrobes,
Central A/C,
Children's Play Area,
Maids Room,
Pets Allowed,
Private Garden,
Private Pool,
Study",Wildflower,7+,"7
									+
					Maid			","Luxurious 7 Bed Villa with Golf-Course Views in Wildflower- Luxury Specification- 7 En-Suite Bedrooms + Maids + Drivers ++- Overlooking 1st Tee of Earth Course- 10,100 Sq. Ft. BUA- 9,166.98 Sq. Ft Plot- Huge Multi-Function Basement with additional rooms joining- Private Pool and Garden- Annexed quarters with separate entrance- World Championship Golf-Course Setting (1st Tee)- Stunning views from all sides- Four levels with large terraces for entertaining/Lounging- Elevator to all levels- RERA Permit No.: Edwards and Towers in Jumeirah Golf Estates are delighted to welcome this elegant custom-build villa to the market in Wildflower, Jumeirah Golf Estates.With World Championship unrestricted Golf Course Views of the 1st Tee, the internal of the villa further includes:- multiple reception rooms, marble flooring throughout, designer kitchen with appliances, Huge Basement ideal for entertaining with option to add a cinema room and 7 en-suite bedrooms with large balcony access on both sides of the Villa with superb views of the Course.One of the bedrooms also has a separate self contained entrance and kitchen which is ideal for guests who appreciate extra privacy.A comprehensive home-automation system runs across the Villa.A remote-controlled double-garage sits to the front and a private pool, Garden and elevated seating area lie to the rear of the villa.To discuss this property or to arrange a viewing please call Benjamin on",/en/plp/buy/apartment-for-sale-dubai-damac-hills-the-drive-carson-9055751.html,N/A,"
                                              19,495,000  AED
                                                                  ",N/A,"
			Villa
		",ET-S-9469,N/A,"10,100
						sqft
															 / 
										938
						sqm",7 Bedrooms | Huge Basement | Vacant | Private Pool,"
                Villa for Sale in Wildflower, Earth              ",6544671270
"
Balcony,
Private Garden,
View of Landmark,
View of Water",Springs 9,3,"3
							","Three Bedroom End Unit With Lake View On Large Plot - Vacant on Transfer :
- Exclusive Listing
- Springs 9
- Type 2E
- Three Bedrooms & Study
- Maid's Room
- Lake View
- Large Plot
- 2,700 Sq. Ft. BUA
- 3,960 Sq. Ft. Plot
- Vacant On Transfer
- Close To Springs Souq
- Agent Jack Bystram +971502364229
New to the market is this popular style Type 2E, Large  Plot in Springs 9. Backing the Lake type 2E!
The Villa comprises of a lounge-diner, kitchen, powder room, utility and external maids room to the ground floor. The first offers two bedrooms sharing a bathroom, study and a master bedroom which has a dressing room and en-suite.
To the rear there is a Landscaped garden which is perfect for entertaining in a quite location, opening up on the Large Lake.
Property Reference: SUP181799
Finance is available on this property through Allsopp & Allsopp Mortgage Services.
Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details.",/en/plp/buy/apartment-for-sale-dubai-damac-hills-the-drive-carson-9055751.html,N/A,"
                                              4,200,000  AED
                                                                  ",N/A,"
			Villa
		",SUP181799,N/A,"2,700
						sqft
															 / 
										251
						sqm",Exclusive | Lake View | Large Plot | 3 Bed,"
                Villa for Sale in Springs 9, The Springs              ",6914429400
"
                      Unfurnished,
Balcony,
Built in Wardrobes,
Central A/C,
Maids Room,
Private Garden,
Security,
Shared Gym,
Shared Pool",District One Villas,6,"4
									+
					Maid			","Realty Force Real Estate is happy to offer 4 Bedroom villa in District One, Mohammad Bin Rashid City.
Property Features:
- 4 Bedroom
- 6 Bathroom
- BUA: 6,435 sq.ft
- Plot: 8,600 sq.ft
- Mediterranean Style
- On the Park
- Large Plot
- Corner Villa
- Selling Price AED 13,450,000/-
Project Amenities:
- Largest Crystal Lagoon
- Parks
- 24 hours Security
- Children Playground
- Barbecue Area
- 5 mins from Dubai Mall
- 10 mins Drive to Airport
The aesthetically chic and classy District One villas promise a life of great elegance and sophistication. These villas are lavish and full of character, surrounded by world-class amenities.
Set in Mohammed Bin Rashid Al Maktoum City – District One, these homes have a huge prestige value. The posh community elevates the experience of urban lifestyle, featuring Crystal Lagoon, green spaces, and thrilling areas for shopping and entertainment venues.
Pictures are only for illustration purposes.
Realty Force Real Estate Brokers 
Mobile Number:+971554802323",/en/plp/buy/apartment-for-sale-dubai-damac-hills-the-drive-carson-9055751.html,"
							Freehold
					","
                                              13,450,000  AED
                                                                  ","3 Years
			","
			Villa
		",realtyforce-3279808,N/A,"8,600
						sqft
															 / 
										799
						sqm",LARGE PLOT | CORNER 4BR |ON THE PARK|MEDITERRANEAN,"
                Villa for Sale in District One Villas, District One              ",6515778092
"
                      Unfurnished,
Balcony,
Barbecue Area,
Built in Wardrobes,
Central A/C,
Children's Play Area,
Concierge,
Covered Parking,
Kitchen Appliances,
Pets Allowed,
Shared Gym,
Shared Pool",The Links West Tower,2,"2
							","EXCLUSIVE | VACANT ON TRANSFER | HIGH FLOOR |  FULL GOLF COURSE VIEW- 2 Bedroom- 2 Bathroom- Full Golf Course View- Upgraded- Vacant On Transfer- 1 Parking- Approx 1,478 Sq.Ft- Agent: Michael Railes +971501137016- BRN: 43145- RERA Permit: 7121998900Williams International Real Estate is excited to offer this stunning 2 bed apartment in Links West, The Views. Offered Vacant on Transfer.A highly sought after layout, front facing unit with full view of Emirates Golf Course and Dubai Marina Skyline on a high floor. The property has been very well looked after and also comes with upgraded flooring throughout.The living space within this particular unit is completely open and attached to a semi-enclosed kitchen. You have access to a well sized balcony to enjoy the stunning views.Both bedrooms in the property are sized generously. The master has access to its own en-suite in addition to a common family bathroom.To arrange a viewing on this property please contact Michael Railes +971501137016.",/en/plp/buy/apartment-for-sale-dubai-damac-hills-the-drive-carson-9055751.html,N/A,"
                                              2,350,000  AED
                                                                  ",N/A,"
			Apartment
		",WIL-S-5397,N/A,"1,478
						sqft
															 / 
										137
						sqm",RARE UNIT TYPE | HIGH FLOOR |FULL GOLF COURSE VIEW,"
                Apartment for Sale in The Links West Tower, The Links              ",7121998900
"
Balcony",Lime Tree Valley,4,"5
							","Granada Type with Maids and Drivers Room
- 6,115 Sq. Ft. BUA
- 10,111 Sq. Ft. PLOT
- Lime Tree Valley
- Granada Type
- Golf Course View 
- 5-6 Bedrooms
- Maids and Drivers rooms
- Agent: Darren Murphy on +971567995941; RERA BRN No.: 11297
Allsopp and Allsopp Real Estate are delighted to bring to market this Granada type villa overlooking the earth golf course in Lime Tree Valley, Jumeirah Golf Estates. 
To the ground floor, entrance hall, guest bedroom with ensuite, breakfast kitchen, formal dining room, formal living room, snug/tv room, study and powder room.
On the 1st floor, there are 4 large bedrooms with ensuite bathrooms and a separate family room. 
The master bedroom features a large terrace with stunning views over the world championship golf course. 
Externally, the huge plot over 10,000 sq. ft. includes very impressive side gardens and a beautiful frontage.
The property is west facing to the rear allowing for excellent afternoon sun.",/en/plp/buy/apartment-for-sale-dubai-damac-hills-the-drive-carson-9055751.html,N/A,"
                                              11,500,000  AED
                                                                  ",N/A,"
			Villa
		",DUB150450,N/A,"6,113
						sqft
															 / 
										568
						sqm",Granada - Golf Course View - Large Plot,"
                Villa for Sale in Lime Tree Valley, Earth              ",6527389413
,Armada Tower 1,1,"1
							","Meadows View | Price Reduction | Vacant
1 Bedroom Apartment - 880 Sq. Ft. - 1.5 Bathrooms 
- Part Furnished and well presented
- Vacant 
- Parking Space 
- High Floor
- No Balcony
- Emirates Living View
- Reference No.: L-193907
- Agent: Milo Barber on +971503512582, RERA BRN No. 54874
Armada Tower 1 is a great family Tower featuring high speed elevators and access to the Rooftop pool and health club in Armada 3 just opposite. It is located in Cluster P, which is in the centre of JLT Park and just a 5 minute walk to the Metro
JLT has a vast range of dining and shopping choices, with different options being on the doorstep of all the towers. There are great outdoor amenities including, JLT park, football and basketball courts, jogging routes, workout areas. It is also very pet friendly and has a dedicated dog park
Please call Milo Barber on +971503512582 for more information.
Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details.",/en/plp/buy/villa-for-sale-dubai-arabian-ranches-alvorada-alvorada-3-9074045.html,N/A,"
                                              890,000  AED
                                                                  ",N/A,"
			Apartment
		",L-193907,"
				10.11
				AED
				per
				sqft
			","880
						sqft
															 / 
										82
						sqm",Meadows View | Price Reduction | Vacant,"
                Apartment for Sale in Armada Tower 1, Lake Elucio              ",7123409500
"
                      Furnished,
Balcony,
Built in Wardrobes,
Concierge,
Covered Parking,
Kitchen Appliances,
Maid Service,
Security,
Shared Gym,
Shared Pool,
Shared Spa,
Walk-in Closet",The Palladium,2,"1
							","This is a beautiful fully furnished apartment in JLT vacant
-Rented
-Rented Until 10th October 2023
 -Rented for 81k in one payment
-1br hall
-Yearly Service charges 12.57 per.sq.ft (Approx)
-Fully Furnished
-very well maintained apartment
-Mid Floor
-Balcony
-BUA 993 sq.ft
-Skyline Views
-Close to Metro Station
Conveniently located along the new Dubai, Palladium is a relatively new development and benefits from being within walking distance from Bonnington Hotel, and a string of restaurants and services. The developer delivered a solid construction, with high level of finishing throughout the building apparent from the sleek modern lobby to the last detail of the vast corridors. A huge swimming pool located and an equally impressive large gymnasium add further value to the development. Palladium is next to the 50-modern Dubai Metals and Commodities Centre (DMCC), the Palladium is an ultra modern high-rise apartment complex spanning over half a million square feet of built-up area comprising restaurants, coffee shops and boutiques in the lobby.",/en/plp/buy/villa-for-sale-dubai-arabian-ranches-alvorada-alvorada-3-9074045.html,N/A,"
                                              960,000  AED
                                                                  ",N/A,"
			Apartment
		",BHM-S-106255,"
				12.56
				AED
				per
				sqft
			","993
						sqft
															 / 
										92
						sqm",Close to Metro|Rented | Furnished | 1BR Hall,"
                Apartment for Sale in The Palladium, Lake Almas West              ",6727136700
